天津,#genre#
天津卫视-高清,http://192.168.123.1:4000/udp/225.1.1.111:5002
天津新闻-高清,http://192.168.123.1:4000/udp/225.1.1.130:5002
天津文艺-高清,http://192.168.123.1:4000/udp/225.1.1.131:5002
天津影视-高清,http://192.168.123.1:4000/udp/225.1.1.149:5002
天津都市-高清,http://192.168.123.1:4000/udp/225.1.1.128:5002
天津体育-高清,http://192.168.123.1:4000/udp/225.1.1.122:5002
天津教育-高清,http://192.168.123.1:4000/udp/225.1.1.129:5002
天津购物-高清,http://192.168.123.1:4000/udp/225.1.1.151:5002

央视,#genre#
CCTV-1综合-高清,http://192.168.123.1:4000/udp/225.1.1.120:5002
CCTV-2财经-高清,http://192.168.123.1:4000/udp/225.1.1.133:5002
CCTV-3综艺-高清,http://192.168.123.1:4000/udp/225.1.1.158:5002
CCTV-4中文国际-高清,http://192.168.123.1:4000/udp/225.1.1.150:5002
CCTV-5体育-高清,http://192.168.123.1:4000/udp/225.1.1.160:5002
CCTV-5+体育赛事-高清,http://192.168.123.1:4000/udp/225.1.1.121:5002
CCTV-6电影-高清,http://192.168.123.1:4000/udp/225.1.1.195:5002
CCTV-7军事农业-高清,http://192.168.123.1:4000/udp/225.1.1.138:5002
CCTV-8电视剧-高清,http://192.168.123.1:4000/udp/225.1.1.196:5002
CCTV-9纪录-高清,http://192.168.123.1:4000/udp/225.1.1.119:5002
CCTV-10科教-高清,http://192.168.123.1:4000/udp/225.1.1.140:5002
CCTV-11戏曲-高清,http://192.168.123.1:4000/udp/225.1.2.192:5002
CCTV-12社会与法-高清,http://192.168.123.1:4000/udp/225.1.1.142:5002
CCTV-13新闻-高清,http://192.168.123.1:4000/udp/225.1.2.193:5002
CCTV-14少儿-高清,http://192.168.123.1:4000/udp/225.1.1.144:5002
CCTV-15音乐-高清,http://192.168.123.1:4000/udp/225.1.2.194:5002
CCTV-16奥林匹克-高清,http://192.168.123.1:4000/udp/225.1.2.237:5002
CCTV-17农业农村-高清,http://192.168.123.1:4000/udp/225.1.2.52:5002

卫视,#genre#
三沙卫视-高清,http://192.168.123.1:4000/udp/225.1.1.182:5002
浙江卫视-高清,http://192.168.123.1:4000/udp/225.1.1.112:5002
北京卫视-高清,http://192.168.123.1:4000/udp/225.1.1.113:5002
湖南卫视-高清,http://192.168.123.1:4000/udp/225.1.1.114:5002
黑龙江卫视-高清,http://192.168.123.1:4000/udp/225.1.1.115:5002
广东卫视-高清,http://192.168.123.1:4000/udp/225.1.1.116:5002
深圳卫视-高清,http://192.168.123.1:4000/udp/225.1.1.117:5002
四川卫视-高清,http://192.168.123.1:4000/udp/225.1.1.123:5002
江苏卫视-高清,http://192.168.123.1:4000/udp/225.1.1.126:5002
安徽卫视-高清,http://192.168.123.1:4000/udp/225.1.1.127:5002
湖北卫视-高清,http://192.168.123.1:4000/udp/225.1.1.147:5002
辽宁卫视-高清,http://192.168.123.1:4000/udp/225.1.1.154:5002
重庆卫视-高清,http://192.168.123.1:4000/udp/225.1.1.155:5002
吉林卫视-高清,http://192.168.123.1:4000/udp/225.1.2.26:5002
河北卫视-高清,http://192.168.123.1:4000/udp/225.1.2.27:5002
贵州卫视-高清,http://192.168.123.1:4000/udp/225.1.2.28:5002
江西卫视-高清,http://192.168.123.1:4000/udp/225.1.2.29:5002
东方卫视-高清,http://192.168.123.1:4000/udp/225.1.2.31:5002
河南卫视-高清,http://192.168.123.1:4000/udp/225.1.2.61:5002
广西卫视-高清,http://192.168.123.1:4000/udp/225.1.2.81:5002
海南卫视-高清,http://192.168.123.1:4000/udp/225.1.2.82:5002

央视付费,#genre#
CCTV-兵器科技-高清,http://192.168.123.1:4000/udp/225.1.2.166:5002
CCTV-电视指南-高清,http://192.168.123.1:4000/udp/225.1.2.167:5002
CCTV-风云足球-高清,http://192.168.123.1:4000/udp/225.1.2.168:5002
CCTV-高尔夫.网球-高清,http://192.168.123.1:4000/udp/225.1.2.169:5002
CCTV-央视台球-高清,http://192.168.123.1:4000/udp/225.1.2.170:5002
CCTV-世界地理-高清,http://192.168.123.1:4000/udp/225.1.2.171:5002
CCTV-女性时尚-高清,http://192.168.123.1:4000/udp/225.1.2.172:5002
CCTV-怀旧剧场-高清,http://192.168.123.1:4000/udp/225.1.2.173:5002
CCTV-风云剧场-高清,http://192.168.123.1:4000/udp/225.1.2.174:5002
